Wormbase.ID,Sequence.ID,Category.1,Category.2,Category.3,Automated.Description
WBGene00043982,B0403.6,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"B0403.6 is enriched in the body wall muscle cell and the intestine based on tiling array and RNA-seq studies\; is affected by several genes including daf-12, clk-1, and hpl-2 based on tiling array, microarray, and RNA-seq studies\; is affected by stavudine and Zidovudine based on RNA-seq studies."
WBGene00007969,C36A4.9,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"acs-19 is an ortholog of human ACSS2 (acyl-CoA synthetase short chain 2)\; is predicted to have AMP binding activity, ATP binding activity, and acetate-CoA ligase activity\; is involved in positive regulation of proteasomal ubiquitin-dependent protein catabolic process and regulation of response to oxidative stress\; is expressed in the head, the hypodermis, the intestine, and the nervous system."
WBGene00021645,Y47G6A.19,Proteolysis general,Proteolysis general: carboxypeptidase,Proteolysis general: carboxypeptidase,"Y47G6A.19 is an ortholog of human CPA4 (carboxypeptidase A4), CPA1 (carboxypeptidase A1), and CPA6 (carboxypeptidase A6)\; is predicted to have metallocarboxypeptidase activity and zinc ion binding activity\; human orthologs of this gene are implicated in familial temporal lobe epilepsy 5."
WBGene00022645,ZK6.11,Stress response,Stress response: pathogen,Stress response: pathogen: unassigned,ZK6.11 is involved in innate immune response\; localizes to the membrane raft.
WBGene00001113,F25H8.5,Unassigned,Unassigned,Unassigned,"dur-1 is enriched in the BAG, the body wall musculature, the germ line, and the muscle cell based on proteomic, tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, glp-1, and let-7 based on microarray, RNA-seq, and proteomic studies\; is affected by fourteen chemicals including methylmercury hydroxide, 1-methylnicotinamide, and Rotenone based on RNA-seq and microarray studies."
WBGene00004119,F21C10.8,Unassigned,Unassigned,Unassigned: prion domain,"pqn-31 is enriched in the pharynx based on RNA-seq studies\; is affected by several genes including daf-2, glp-1, and dpy-10 based on microarray, RNA-seq, and tiling array studies\; is affected by eleven chemicals including Ethanol, methylmercuric chloride, and Rotenone based on RNA-seq and microarray studies."
WBGene00013704,Y106G6D.8,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y106G6D.8 is enriched in the hypodermis and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on RNA-seq and microarray studies\; is affected by seven chemicals including Rotenone, levamisole, and Zidovudine based on RNA-seq and microarray studies."
WBGene00013969,ZK337.1,Proteolysis general,Proteolysis general: inhibitor,Proteolysis general: inhibitor: unassigned,"tep-1 is an ortholog of human CD109 (CD109 molecule)\; is predicted to have endopeptidase inhibitor activity\; is expressed in several tissues, including the epithelial system, the nervous system, and the reproductive system."
WBGene00007743,C26C6.9,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,C26C6.9 is an ortholog of human TMED2 (transmembrane p24 trafficking protein 2)\; is predicted to encode a protein with the following domains: GOLD domain and TMP21-related.
WBGene00000118,Y69F12A.2,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,"alh-12 is an ortholog of human ALDH9A1 (aldehyde dehydrogenase 9 A1)\; is predicted to have oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor."
WBGene00001439,F26D12.1,Transcription factor,Transcription factor: forkhead,Transcription factor: forkhead,"fkh-7 is an ortholog of human FOXP2, FOXP1 (forkhead box P1), and FOXP3 (forkhead box P3)\; is predicted to have DNA-binding activity transcription factor activity and sequence-specific DNA binding activity\; is expressed in several tissues, including the alimentary system, the head, the muscular system, the nervous system, and the reproductive system\; human orthologs of this gene are implicated in immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome and type 1 diabetes mellitus."
WBGene00022781,ZK622.3,Metabolism,Metabolism: lipid,Metabolism: lipid: phospholipid,"pmt-1 exhibits phosphoethanolamine N-methyltransferase activity\; is involved in multicellular organism reproduction, nematode larval development, and phosphatidylcholine biosynthesis from phosphoryl-ethanolamine via N-dimethylethanolamine phosphate and CDP-choline\; is expressed in the seam cell."
WBGene00019606,K10B2.3,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,"clec-88 is an ortholog of human CLEC17A (C-type lectin domain containing 17A), KLRF2, and KLRF1\; is predicted to have carbohydrate binding activity."
WBGene00021464,Y39G10AR.6,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-31 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have transferase activity, transferring hexosyl groups."
WBGene00000413,Y54E10A.15,DNA,DNA: replication,DNA: replication,"cdt-1 is an ortholog of human CDT1\; localizes to the chromatin, cytoplasm, and nucleus\; is expressed in the anchor cell, the germ line, and the vulD."
WBGene00011404,T03F7.7,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"T03F7.7 is enriched in the germline precursor cell, the hypodermis, and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including let-7, dpy-10, and gld-1 based on microarray, proteomic, and RNA-seq studies\; is affected by nine chemicals including Heme, Rotenone, and D-glucose based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: CRAL-TRIO lipid binding domain, GOLD domain superfamily, and CRAL-TRIO lipid binding domain superfamily."
WBGene00015660,C09H5.2,Transmembrane transport,Transmembrane transport: unassigned,Transmembrane transport: unassigned,"catp-3 is an ortholog of human ATP4A (ATPase H+\/K+ transporting subunit alpha) and ATP12A (ATPase H+\/K+ transporting non-gastric alpha2 subunit) and members of the human ATP1 (ATPase Na+\/K+ transporting subunits) gene family including ATP1A4, ATP1A1, and ATP1A2\; is predicted to have ATP binding activity and hydrolase activity."
WBGene00001795,C05C12.3,Transmembrane transport,Transmembrane transport: TRP  channel,Transmembrane transport: TRP  channel,"gtl-1 is an ortholog of human TRPM1 (transient receptor potential cation channel subfamily M member 1) and TRPM3 (transient receptor potential cation channel subfamily M member 3)\; is involved in defecation\; is expressed in the intestine, the nervous system, and the rectal gland cell."
WBGene00016191,C28G1.6,Extracellular material,Extracellular material: matrix,Extracellular material: matrix,"C28G1.6 is an ortholog of human TRIM11, TRIM38, and TRIM41\; is predicted to have zinc ion binding activity."
WBGene00000680,Y77E11A.15,Extracellular material,Extracellular material: collagen,Extracellular material: collagen,col-106 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle.
WBGene00013220,Y54G11A.13,Stress response,Stress response: oxidative,Stress response: oxidative,"ctl-3 is an ortholog of human CAT\; is predicted to have catalase activity, heme binding activity, and metal ion binding activity\; is expressed in the nervous system and the pharyngeal muscle cell\; human orthologs of this gene are implicated in acatalasia."
WBGene00012693,Y39B6A.34,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: cytochrome c oxidase assembly factor,Y39B6A.34 is an ortholog of human APOPT1\; human orthologs of this gene are implicated in cytochrome-c oxidase deficiency disease\; is predicted to encode a protein with the following domain: Apoptogenic protein.
WBGene00013387,Y62F5A.9,Unassigned,Unassigned,Unassigned,Y62F5A.9 is expressed in the pharyngeal gland cell.
WBGene00004350,F56B6.2,Signaling,Signaling: heteromeric G protein,Signaling: heteromeric G protein: unassigned,"rgs-7 is an ortholog of human RGS5 (regulator of G protein signaling 5), RGS18 (regulator of G protein signaling 18), and RGS13 (regulator of G protein signaling 13)\; exhibits GTPase activator activity\; localizes to the cell cortex\; is expressed in head neurons\; human orthologs of this gene are implicated in essential hypertension."
WBGene00021525,Y41D4B.26,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y41D4B.26 is enriched in several tissues, including the Z1.p, the Z4.a, the alimentary system, the hypodermis, and the male distal tip cell based on tiling array and RNA-seq studies\; is affected by several genes including daf-2, dpy-7, and pgl-1 based on microarray, tiling array, and RNA-seq studies\; is affected by thirteen chemicals including 1-methylnicotinamide, methylmercuric chloride, and Mianserin based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Protein Lag2."
WBGene00008862,F15D4.5,Unassigned,Unassigned,Unassigned,"F15D4.5 is expressed in the g1AL, the g1AR, the g2L, and the g2R."
WBGene00008985,F20G2.1,Metabolism,Metabolism: short chain dehydrogenase,Metabolism: short chain dehydrogenase,"F20G2.1 is enriched in the intestine based on RNA-seq studies\; is affected by several genes including daf-16, glp-1, and age-1 based on microarray, tiling array, and RNA-seq studies\; is affected by fourteen chemicals including Heme, tryptophan, and Rotenone based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: Short-chain dehydrogenase\/reductase SDR and NAD(P)-binding domain superfamily."
WBGene00001772,F37B1.1,Stress response,Stress response: detoxification,Stress response: detoxification: GST,"gst-24 is an ortholog of human GSTA4 (glutathione S-transferase alpha 4), GSTA5 (glutathione S-transferase alpha 5), and HPGDS (hematopoietic prostaglandin D synthase)\; is predicted to have transferase activity\; is involved in innate immune response\; is expressed in the head and the tail."
WBGene00010726,K09E9.3,Unassigned,Unassigned,Unassigned,"K09E9.3 is enriched in the alimentary system, the digestive tract, the germ line, and the nervous system based on microarray and RNA-seq studies\; is affected by several genes including daf-12, dpy-10, and sir-2.1 based on microarray, tiling array, and RNA-seq studies\; is affected by six chemicals including Lithium Chloride, Alovudine, and Zidovudine based on microarray and RNA-seq studies."
WBGene00000301,T13F2.8,Signaling,Signaling: caveolin,Signaling: caveolin,"cav-1 is an ortholog of human CAV1, CAV2, and CAV3\; is predicted to have protein-containing complex scaffold activity\; is involved in Ras protein signal transduction, meiotic cell cycle, and regulation of oviposition\; localizes to the cytoplasm, cytoplasmic vesicle, and plasma membrane part\; is expressed in several tissues, including germ cells, the embryonic cell, the nervous system, the pharynx, and the tail."
WBGene00019619,K10C2.3,Proteolysis general,Proteolysis general: aspartate,Proteolysis general: aspartate: unassigned,"asp-14 is an ortholog of human PGA3, PGA5, and CTSE (cathepsin E)\; is predicted to have aspartic-type endopeptidase activity\; is involved in innate immune response."
WBGene00013956,ZK265.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"ZK265.3 is enriched in the NSM, the amphid sheath cell, and the male based on tiling array and RNA-seq studies\; is affected by several genes including daf-2, age-1, and dpy-10 based on microarray and RNA-seq studies\; is affected by seventeen chemicals including Ethanol, nicotinic acid, and methylmercuric chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Cytosolic motility protein."
WBGene00019345,K02G10.3,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"tmem-135 is an ortholog of human TMEM135\; is involved in several processes, including determination of adult lifespan, positive regulation of gene expression, and positive regulation of lipid storage\; localizes to the cytoplasm and lipid droplet\; is expressed in the epithelial system, the intestine, and the pharynx."
WBGene00017443,F13H8.11,Signaling,Signaling: lipid,Signaling: lipid: phospholipase B,F13H8.11 is an ortholog of human PLB1 (phospholipase B1)\; is predicted to have phospholipase activity.
WBGene00016957,C55F2.1,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,atic-1 is an ortholog of human ATIC (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase\/IMP cyclohydrolase)\; is predicted to have IMP cyclohydrolase activity and phosphoribosylaminoimidazolecarboxamide formyltransferase activity.
WBGene00003229,F53G12.5,mRNA functions,mRNA functions: binding,mRNA functions: binding: KH,"mex-3 is an ortholog of human MEX3C (mex-3 RNA binding C), MEX3D (mex-3 RNA binding D), and MEX3A (mex-3 RNA binding A)\; exhibits single-stranded RNA binding activity\; is involved in several processes, including cell fate specification, embryonic pattern specification, and regulation of gene expression\; localizes to the P granule\; is expressed in several tissues, including the embryonic cell."
WBGene00022231,Y73B6BL.1,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,"tyr-6 is an ortholog of human DCT, TYR, and TYRP1\; is predicted to have metal ion binding activity and oxidoreductase activity."
WBGene00022005,Y59H11AM.1,Unassigned,Unassigned,Unassigned,"Y59H11AM.1 is enriched in the hypodermis based on RNA-seq studies\; is affected by several genes including age-1, pgl-1, and aak-2 based on microarray, proteomic, and RNA-seq studies\; is affected by four chemicals including aldicarb, Ethanol, and Colistin based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
WBGene00021913,Y55B1BR.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,cec-8 is predicted to have methylated histone binding activity.
WBGene00001597,T07F8.3,mRNA functions,mRNA functions: binding,mRNA functions: binding: KH,"gld-3 is an ortholog of human ANKS6 (ankyrin repeat and sterile alpha motif domain containing 6) and BICC1 (BicC family RNA binding protein 1)\; exhibits protein domain specific binding activity\; contributes to polynucleotide adenylyltransferase activity\; is involved in several processes, including RNA polyadenylation, embryo development, and gamete generation\; localizes to the P granule and RNA-directed RNA polymerase complex\; is expressed in the germ line and the male."
WBGene00018336,F42A9.7,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F42A9.7 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including age-1, hsf-1, and eat-2 based on microarray, RNA-seq, and tiling array studies\; is affected by thirteen chemicals including Ethanol, methylmercuric chloride, and manganese chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
WBGene00020774,T24E12.5,Unassigned,Unassigned,Unassigned: membrane spanning domain,"T24E12.5 is enriched in dopaminergic neurons, the OLL, the PVD, and the intestine based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by seventeen chemicals including aldicarb, hydrogen sulfide, and tryptophan based on microarray and RNA-seq studies."
WBGene00021667,Y48G1BM.1,mRNA functions,mRNA functions: processing,mRNA functions: processing: snRNP,"snpc-3.2 is an ortholog of human SNAPC3 (small nuclear RNA activating complex polypeptide 3)\; is predicted to encode a protein with the following domain: snRNA-activating protein complex, subunit 3."
WBGene00022653,ZK105.1,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"ZK105.1 is enriched in the body wall musculature and the muscle cell based on RNA-seq and microarray studies\; is affected by several genes including daf-16, glp-1, and daf-12 based on microarray, RNA-seq, and proteomic studies\; is affected by twelve chemicals including Heme, Ethanol, and 1-methylnicotinamide based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: Domain of unknown function DUF19 and Uncharacterised protein family UPF0376."
WBGene00021979,Y58A7A.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y58A7A.5 is enriched in the RID and the coelomocyte based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and age-1 based on microarray, tiling array, and RNA-seq studies\; is affected by eighteen chemicals including Nitric Oxide, methylmercury hydroxide, and methylmercuric chloride based on RNA-seq and microarray studies."
WBGene00021978,Y58A7A.4,Unassigned,Unassigned,Unassigned,Y58A7A.4 is expressed in head neurons and the intestine.
WBGene00019744,M02H5.8,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"M02H5.8 is enriched in the AFD, the intestine, and the pharyngeal muscle cell based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, RNA-seq, proteomic, and tiling array studies\; is affected by fourteen chemicals including 1-methylnicotinamide, methylmercuric chloride, and Mianserin based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Protein of unknown function DUF4473."
WBGene00008922,F17C11.11,Stress response,Stress response: unassigned,Stress response: unassigned,"F17C11.11 is enriched in the AFD, the NSM, the body wall musculature, and the intestine based on RNA-seq and microarray studies\; is affected by several genes including daf-12, hsf-1, and elt-2 based on microarray, tiling array, and RNA-seq studies\; is affected by ten chemicals including 1-methylnicotinamide, Tunicamycin, and levamisole based on RNA-seq and microarray studies."
WBGene00021262,Y22D7AR.9,Proteolysis proteasome,Proteolysis proteasome: E3,Proteolysis proteasome: E3: F box,"fbxa-74 is enriched in the intestine based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and hsf-1 based on microarray, proteomic, tiling array, and RNA-seq studies\; is affected by ten chemicals including Mercuric Chloride, Rotenone, and Zidovudine based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: F-box domain, Domain of unknown function DUF38, Caenorhabditis species, and F-box-like domain superfamily."
WBGene00018605,F48E3.4,Proteolysis general,Proteolysis general: serine,Proteolysis general: serine,F48E3.4 is predicted to have serine-type endopeptidase activity.
WBGene00017466,F14F9.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F14F9.3 is enriched in the nervous system based on tiling array studies\; is affected by several genes including clk-1, elt-2, and lin-35 based on microarray and RNA-seq studies\; is affected by eleven chemicals including hydrogen sulfide, Nitric Oxide, and tryptophan based on microarray and RNA-seq studies."
WBGene00017467,F14F9.4,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F14F9.4 is enriched in several tissues, including the Z1.p, the Z4.a, the intestine, the male distal tip cell, and the somatic gonad precursor based on RNA-seq studies\; is affected by several genes including daf-16, daf-2, and hsf-1 based on microarray, tiling array, and RNA-seq studies\; is affected by fifteen chemicals including hydrogen sulfide, methylmercuric chloride, and Rotenone based on microarray and RNA-seq studies."
WBGene00022245,Y73B6BL.24,Lysosome,Lysosome: acid phosphatase,Lysosome: acid phosphatase,"acp-6 is an ortholog of human ACP2 (acid phosphatase 2, lysosomal), ACP4 (acid phosphatase 4), and ACPP (acid phosphatase, prostate)\; human ACPP exhibits phosphatase activity and protein homodimerization activity."
WBGene00021556,Y45G5AM.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y45G5AM.3 is enriched in the AFD and the amphid sheath cell based on RNA-seq studies\; is affected by several genes including daf-16, hsf-1, and elt-2 based on RNA-seq and microarray studies\; is affected by eight chemicals including methylmercuric chloride, stavudine, and Sodium Chloride based on microarray and RNA-seq studies."
WBGene00019779,M60.2,mRNA functions,mRNA functions: processing,mRNA functions: processing: nuclease,"endu-2 is an ortholog of human ENDOU (endonuclease, poly(U) specific)\; is predicted to have endoribonuclease activity\; is involved in defense response to Gram-negative bacterium and innate immune response."
WBGene00015449,C04F5.7,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-63 is an ortholog of human UGT1A6 (UDP glucuronosyltransferase family 1 member A6), UGT2A1 (UDP glucuronosyltransferase family 2 member A1 complex locus), and UGT1A5 (UDP glucuronosyltransferase family 1 member A5)\; is predicted to have transferase activity, transferring hexosyl groups\; is expressed in the hypodermis and the muscle cell."
WBGene00004076,W09B6.1,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"pod-2 is an ortholog of human ACACB\; is predicted to have acetyl-CoA carboxylase activity\; is involved in several processes, including establishment or maintenance of epithelial cell apical\/basal polarity, fatty acid biosynthetic process, and nematode larval development\; is expressed in the epithelial system, the intestine, and the reproductive system."
WBGene00002269,Y55B1AR.1,Extracellular material,Extracellular material: galectin,Extracellular material: galectin,lec-6 is an ortholog of human LGALS1 (galectin 1)\; is predicted to have carbohydrate binding activity\; localizes to the cytoplasm\; is expressed in the intestine and the pharynx.
WBGene00021832,Y54E10A.12,Unassigned,Unassigned,Unassigned,"Y54E10A.12 is enriched in the nervous system and the reproductive system based on proteomic, tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, let-7, and gld-1 based on microarray, proteomic, and RNA-seq studies\; is affected by eight chemicals including manganese chloride, D-glucose, and bisphenol S based on RNA-seq and microarray studies."
WBGene00004249,Y39A3CL.6,Signaling,Signaling: VEGF,Signaling: VEGF,pvf-1 is an ortholog of human PDGFA and PDGFB\; is predicted to have growth factor activity\; is involved in negative regulation of netrin-activated signaling pathway and nematode male tail tip morphogenesis\; is expressed in the body wall musculature.
WBGene00006927,F59D8.1,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,vit-3 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity\; is expressed in the intestine.
WBGene00001758,Y45G12C.2,Stress response,Stress response: detoxification,Stress response: detoxification: GST,"gst-10 is an ortholog of human GSTP1 (glutathione S-transferase pi 1)\; exhibits glutathione transferase activity\; is involved in several processes, including determination of adult lifespan, glutathione metabolic process, and heat acclimation\; is expressed in several tissues, including the anal depressor muscle, the head, the hypodermis, the intestine, and the nervous system\; is used to study obesity."
WBGene00020128,R193.2,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"R193.2 is enriched in the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and skn-1 based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by twenty-one chemicals including Heme, aldicarb, and 1-methylnicotinamide based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: SEA domain, von Willebrand factor, type A, and von Willebrand factor A-like domain superfamily."
WBGene00001776,Y53F4B.31,Stress response,Stress response: detoxification,Stress response: detoxification: GST,"gst-28 is an ortholog of human GSTA4 (glutathione S-transferase alpha 4), GSTA5 (glutathione S-transferase alpha 5), and HPGDS (hematopoietic prostaglandin D synthase)\; is predicted to have transferase activity."
WBGene00001775,Y53F4B.30,Stress response,Stress response: detoxification,Stress response: detoxification: GST,"gst-27 is an ortholog of human GSTA4 (glutathione S-transferase alpha 4), GSTA5 (glutathione S-transferase alpha 5), and HPGDS (hematopoietic prostaglandin D synthase)\; is predicted to have transferase activity."
WBGene00001774,Y53F4B.29,Stress response,Stress response: detoxification,Stress response: detoxification: GST,"gst-26 is an ortholog of human GSTA4 (glutathione S-transferase alpha 4), GSTA5 (glutathione S-transferase alpha 5), and HPGDS (hematopoietic prostaglandin D synthase)\; is predicted to have transferase activity."
WBGene00012595,Y38E10A.17,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y38E10A.17 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-16, age-1, and let-60 based on microarray, RNA-seq, and proteomic studies\; is affected by twenty chemicals including Ethanol, nicotinic acid, and methylmercuric chloride based on RNA-seq and microarray studies."
WBGene00012583,Y38E10A.5,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,clec-4 is an ortholog of human CLEC3A (C-type lectin domain family 3 member A) and CLEC3B (C-type lectin domain family 3 member B)\; is predicted to have carbohydrate binding activity.
WBGene00001393,Y67H2A.8,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,"fat-1 exhibits omega-3 fatty acid desaturase activity\; is involved in positive regulation of locomotion and unsaturated fatty acid biosynthetic process\; is expressed in the intestine, the nerve ring, and touch receptor neurons."
WBGene00013690,Y105E8B.5,Metabolism,Metabolism: nucleotide,Metabolism: nucleotide,hprt-1 is an ortholog of human HPRT1 and PRTFDC1\; exhibits identical protein binding activity\; human orthologs of this gene are implicated in Lesch-Nyhan syndrome.
WBGene00003466,T13F2.10,Major sperm protein,Major sperm protein,Major sperm protein,"msp-79 is expressed in the reproductive system\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
WBGene00006058,F54C1.9,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"sst-20 is enriched in the AVA, the arcade cell, the germ line, the male, and the pharyngeal-intestinal valve cell based on tiling array and RNA-seq studies\; is affected by several genes including age-1, let-7, and dpy-10 based on microarray, RNA-seq, and proteomic studies\; is affected by eight chemicals including methylmercuric chloride, Rotenone, and manganese chloride based on microarray and RNA-seq studies."
WBGene00019232,H23N18.1,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-13 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have transferase activity, transferring hexosyl groups."
WBGene00020456,T12B5.10,Proteolysis proteasome,Proteolysis proteasome: E3,Proteolysis proteasome: E3: F box,fbxa-60 is involved in innate immune response.
WBGene00022200,Y71H10A.2,Metabolism,Metabolism: lipid,Metabolism: lipid: fatty acid,fard-1 is an ortholog of human FAR1 (fatty acyl-CoA reductase 1)\; is predicted to have alcohol-forming fatty acyl-CoA reductase activity and fatty-acyl-CoA reductase (alcohol-forming) activity.
WBGene00013587,Y80D3A.9,Trafficking,Trafficking: ER/Golgi,Trafficking: ER/Golgi: COP I,Y80D3A.9 is an ortholog of human Tango2\; is predicted to encode a protein with the following domain: Transport and Golgi organisation protein 2.
WBGene00000273,Y79H2A.1,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"brp-1 is enriched in the PLM based on RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, RNA-seq, and proteomic studies\; is affected by seven chemicals including Cry5B, Aspirin, and Zidovudine based on RNA-seq and microarray studies."
WBGene00001817,Y50E8A.16,Transmembrane transport,Transmembrane transport: ABC,Transmembrane transport: ABC,"haf-7 is an ortholog of human ABCB9 (ATP binding cassette subfamily B member 9) and XXbac-BPG246D15.9\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in several tissues, including the alimentary system, the nervous system, the reproductive system, and the tail."
WBGene00012980,Y48B6A.6,Signaling,Signaling: calcium,Signaling: calcium: EF hand,"efhd-1 is an ortholog of human EFHD1 (EF-hand domain D1) and EFHD2 (EF-hand domain D2)\; is predicted to have calcium ion binding activity\; is expressed in the body wall musculature, the nervous system, and the pharynx."
WBGene00012923,Y47D3A.2,Proteolysis proteasome,Proteolysis proteasome: E3,Proteolysis proteasome: E3: F box,"fbxa-128 is expressed in the pharyngeal-intestinal valve\; is predicted to encode a protein with the following domain: Domain of unknown function DUF38, Caenorhabditis species."
WBGene00012809,Y43F8A.2,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y43F8A.2 is enriched in the germ line, the male, and the nervous system based on proteomic, RNA-seq, and microarray studies\; is affected by several genes including daf-2, glp-1, and skn-1 based on microarray and RNA-seq studies\; is affected by eighteen chemicals including Ethanol, methylmercury hydroxide, and nicotinic acid based on RNA-seq and microarray studies."
WBGene00012715,Y39E4B.2,mRNA functions,mRNA functions: processing,mRNA functions: processing: snRNP,"snpc-1.2 is an ortholog of human SNAPC1 (small nuclear RNA activating complex polypeptide 1)\; is predicted to encode a protein with the following domain: Small nuclear RNA activating complex (SNAPc), subunit SNAP43."
WBGene00012608,Y38F1A.6,Metabolism,Metabolism: mitochondria,Metabolism: mitochondria: unassigned,"hphd-1 is an ortholog of human ADHFE1 (alcohol dehydrogenase, iron containing 1)\; is predicted to have hydroxyacid-oxoacid transhydrogenase activity\; is expressed in several tissues, including the alimentary system, the hypodermis, the muscular system, and the reproductive system."
WBGene00013716,Y106G6H.1,Unassigned,Unassigned,Unassigned,Y106G6H.1 is expressed in the intestine.
WBGene00003915,M88.6,Development,Development: somatic,Development: somatic,"pan-1 is an ortholog of human SLITRK4, SLITRK5, and LINGO1 (leucine rich repeat and Ig domain containing 1)\; exhibits DEAD\/H-box RNA helicase binding activity\; is involved in germ cell development and molting cycle\; localizes to the P granule and plasma membrane\; is expressed in several tissues, including the alimentary system, the epithelial system, the head, and the reproductive system."
WBGene00008113,C46C2.5,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C46C2.5 is enriched in the germ line and the hypodermis based on proteomic and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, proteomic, and RNA-seq studies\; is affected by nine chemicals including methylmercuric chloride, Rotenone, and Alovudine based on microarray and RNA-seq studies."
WBGene00007455,C08F11.8,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,ugt-22 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have glucuronosyltransferase activity.
WBGene00018708,F52F10.4,Metabolism,Metabolism: lipid,Metabolism: lipid: o-acyl transferase,"oac-32 is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups."
